CUs SPPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX E G F P U
1 2.77777777778 0 0.0262989997864 0.18977589035 3.05949497223 0.0315070152283 0.0436608791351 0.158373117447 0.193312168121 0.981751824818 0.981751824818 0 0 0 0
400 65.5555555556 0.371496116177 1.89084100723 5.90350471715 19.5495090485 3.1872150898 4.90048003197 9.7400598526 11.0721769333 0.329925348913 0 0 0 0 0.329925348913
600 64.6 3.80542686962 2.47166204453 6.56451827718 17.1546738148 3.75527596474 5.84894800186 11.3183138371 12.4864771366 0.335454276413 0 0 0 0 0.335454276413
800 55.4888888889 43.5195657091 2.06176686287 5.03501979988 28.4213008881 4.13508081436 8.43454504013 14.3740990162 16.3567180634 0.537970575508 0 0 0 0.537970575508 0
1000 46.0 50.5494505495 2.95676183701 6.41922712104 37.2386491299 5.56774091721 11.5642209053 23.3041210175 27.7117240429 0.602245145631 0 0 0 0.602245145631 0
1200 49.9111111111 7.41962077494 1.6198861599 7.5124635718 26.4639861584 2.31635308266 6.19098997116 18.7002677918 20.8883008957 0.531514324693 0 0 0 0.531514324693 0
1400 49.2444444444 10.4646464646 0.673900842667 10.5807945667 39.0270509719 2.39003205299 5.29645991325 32.0843651295 35.115128994 0.636655211913 0 0 0 0.636655211913 0
1600 26.5777777778 68.7891440501 1.29464006424 6.60890767507 45.754641056 7.24302983284 24.2779576779 37.3543491363 43.3145680428 0.765183556082 0 0 0.765183556082 0 0
1800 23.1777777778 74.6228710462 3.65814805031 7.47303891507 61.0209469795 6.52348303795 32.8591537476 52.8592970371 56.6997032165 0.78830059778 0 0 0.78830059778 0 0
2000 44.5333333333 21.0712879086 0.600240945816 8.0025621716 38.3502707481 1.69932579994 5.10268807411 26.9016540051 30.1430308819 0.669467114738 0 0 0 0.669467114738 0
