CUs STEP ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 001.003 0 0.0124361515045 0.0143073797226 0.016007900238 0.0124361515045 0.0146200656891 0.016007900238 0.016007900238 1.0
400 001.003 0 0.714538097382 1.14101793061 1.67578005791 0.856271982193 1.13929200172 1.41323590279 1.55296707153 0.950704225352
600 001.003 0 0.901297092438 1.39760078544 2.01803898811 1.13855886459 1.38083600998 1.69093203545 1.78993010521 0.834196891192
800 001.003 0 0.25990819931 1.07844048855 3.72970890999 0.335630893707 0.521651983261 2.58238697052 2.88538503647 0.867647058824
1000 001.003 0 0.222784996033 0.674668042034 4.03865098953 0.38672208786 0.58807516098 0.931445121765 1.29165387154 0.98275862069
1200 001.003 0 0.516760110855 1.25085716886 7.08570814133 0.626413822174 0.792840957642 3.02336883545 5.1080019474 0.925331858407
1400 001.003 0 0.163786888123 0.710629951051 6.55063009262 0.35382604599 0.486264944077 1.32477498055 1.54005002975 0.970501474926
1600 001.003 0 0.10072517395 0.610028955575 8.51360106468 0.235992908478 0.421379089355 0.750699043274 1.32603001595 0.974614687217
1800 001.003 0 0.112446069717 0.408776798848 7.01670694351 0.179991960526 0.280577898026 0.539439916611 0.607303142548 0.985915492958
2000 001.003 0 0.153920173645 0.948354866609 11.5398659706 0.300870895386 0.500963926315 1.0862429142 4.36547207832 0.942218080149
