CUs RPS ERROR MIN AVG MAX P10 P50 P90 P95 APDEX
1 3.04444444444 0 0.0124361515045 0.173153184626 3.05949497223 0.0301978588104 0.0421431064606 0.157589912415 0.193312168121 0.981751824818
400 68.9333333333 0.354609929078 0.517222166061 5.64819932922 19.5495090485 2.86414384842 4.75048899651 9.43100905418 10.7514030933 0.333010960671
600 75.7111111111 3.37540358086 0.617846012115 5.87053893394 16.7520740032 1.98931288719 5.1212041378 10.2296750546 11.5361549854 0.337833871441
800 103.444444444 41.3319011815 0.184965133667 5.02222651559 28.4213008881 0.407274007797 3.87758398056 12.1821799278 14.4218118191 0.537593984962
1000 110.622222222 42.5070309361 0.152732849121 5.75733447401 37.2386491299 0.502549171448 1.10756206512 17.2430620193 21.8699581623 0.602551225392
1200 92.0222222222 4.34677614103 8.79764556885e-05 4.91168787087 23.6488330364 0.700497865677 2.96284914017 13.0509078503 17.1891620159 0.530306689206
1400 99.7111111111 5.77223088924 9.20295715332e-05 5.95765844559 36.5269970894 0.400827884674 1.51050209999 21.0087561607 30.8031320572 0.632605304212
1600 134.377777778 43.5918637341 9.29832458496e-05 4.73240871317 44.2886960506 0.00439500808716 0.552503108978 22.9555609226 30.670178175 0.759550190177
1800 132.555555556 51.4165968148 9.29832458496e-05 5.71252108512 59.9998311996 0.00126600265503 0.472769975662 23.3772749901 41.5067360401 0.784241408215
2000 102.933333333 11.5500863558 9.29832458496e-05 4.98145503094 36.1592030525 0.0182068347931 1.13662290573 17.2504651546 24.3993918896 0.650798791019
